LINEA,T_internal,T_Mtto,T_Aseos,T_CO&SUP,T_External,NST_Demanda,NST_Material,NST_Engeneering,NST_Other,N_SKU,EPT,Regional,País,Automatic,GLY,LEF,OEE,META_GLY,META_LEF,META_ST,ST,TT,NST TOTAL
PC08_ZAC07,26.70027778,27.38416667,18.09388889,6.974166667,20.57944444,240.7763889,#N/D,#N/D,6.974166667,2,395.7597222,R-MEX_NTE,MX_NTE,Habilitado,80%,94%,53%,86.2454,93.9357,590.486,496.2494444,744,247.7505556
PC08_ZAC08,24.56666667,19.42833333,10.72722222,0.3325,2.688333333,437.6383333,7.591944444,#N/D,0.3325,24,225.3158333,R-MEX_NTE,MX_NTE,Habilitado,75%,90%,30%,80.6175,92.4067,487.079,298.4372222,744,445.5627778
PC08_ZAC09,22.27333333,31.3625,27.59138889,#N/D,23.145,28.30861111,#N/D,0.679444444,#N/D,4,589.445,R-MEX_NTE,MX_NTE,Habilitado,82%,96%,79%,84.1155,96.9385,622.778,715.0119444,744,28.98805556
PC08_ZAC10,20.555,19.49388889,16.76916667,#N/D,5.166666667,388.5805556,#N/D,2.238611111,#N/D,1,284.3269444,R-MEX_NTE,MX_NTE,Habilitado,81%,93%,38%,87.495,96.6376,646.439,353.1808333,744,390.8191667
PC08_ZAC11,21.82916667,25.68444444,18.77277778,1,5.805555556,248.2755556,#N/D,32.14166667,1,18,367.7647222,R-MEX_NTE,MX_NTE,Habilitado,80%,94%,49%,89.8085,95.6565,585.19,462.5827778,744,281.4172222
PC08_ZAC12,12.51194444,9.055555556,9.610833333,19.04666667,8.254722222,425.4191667,#N/D,#N/D,19.04666667,11,246.59,R-MEX_NTE,MX_NTE,Habilitado,82%,95%,33%,84.6718,94.3726,483.325,299.5341667,744,444.4658333
PC08_ZAC01,35.7925,32.71583333,12.75583333,5.255833333,37.67277778,28,10.38916667,6.200833333,5.255833333,9,555.8986111,R-MEX_NTE,MX_NTE,Habilitado,80%,94%,75%,76.9308,93.3726,467.89,694.1541667,744,49.84583333
PC08_ZAC02,27.84111111,24.31638889,7.671388889,43.08416667,28.79805556,38.93916667,20.89916667,152.9327778,43.08416667,21,389.3886111,R-MEX_NTE,MX_NTE,Habilitado,80%,93%,52%,80.7214,92.796,344.276,488.1447222,744,255.8552778
PC08_ZAC03,13.1225,24.10722222,9.867222222,0.872222222,20.59305556,16.58305556,#N/D,7.340277778,0.872222222,15,619.8016667,R-MEX_NTE,MX_NTE,Habilitado,86%,98%,83%,90.6683,96.9286,543.464,719.2044444,744,24.79555556
PC01_MEX06,66.71805556,29.61777778,33.03444444,32,21.94166667,92,#N/D,#N/D,32,7,441.8344444,R-MEX_SUR,MX_SUR,Habilitado,71%,87%,59%,71.521,84.3511,618,620,744,124
