LINEA,T_internal,T_Mtto,T_Aseos,T_CO&SUP,T_External,NST_Demanda,NST_Material,NST_Engeneering,NST_Other,N_SKU,EPT,Regional,País,Automatic,GLY,LEF,OEE,META_GLY,META_LEF,META_ST,ST,TT,NST TOTAL
DO31_L501,17.68527778,8.558055556,6.629444444,47.92444444,0.201666667,488.3858333,4.226388889,#N/D,47.92444444,7,159.9447222,R-CAC,DO,Habilitado,79%,90%,21%,0,0,0,203.4633333,744,540.5366667
DO31_L502,3.215277778,2.116666667,2.743055556,287.3422222,0.766666667,374.8891667,#N/D,#N/D,287.3422222,3,69.66083333,R-CAC,DO,Habilitado,85%,96%,9%,0,0,0,81.76861111,744,662.2313889
DO31_L503,24.15083333,20.74305556,10.10555556,36.57916667,6.268333333,437.1236111,#N/D,#N/D,36.57916667,3,199.7077778,R-CAC,DO,Habilitado,74%,89%,27%,60.8278,76.1587,432.186,270.2972222,744,473.7027778
DO31_L504,0,#N/D,#N/D,#N/D,0,744,#N/D,#N/D,#N/D,#N/D,0,R-CAC,DO,Habilitado,#¡DIV/0!,#¡DIV/0!,0%,0,0,0,0,744,744
DO31_L505,69.55027778,23.27861111,18.97805556,196.1386111,3.662222222,72.07194444,#N/D,#N/D,196.1386111,4,349.3927778,R-CAC,DO,Habilitado,73%,83%,47%,60.67,77.765,418.625,475.7894444,744,268.2105556
DO31_L506,36.04722222,14.16166667,12.265,219.6461111,8.904166667,159.2938889,12.18361111,#N/D,219.6461111,4,268.9672222,R-CAC,DO,Habilitado,76%,88%,36%,63.2839,80.7298,609.037,352.8763889,744,391.1236111
DO31_L507,26.40611111,1.961111111,13.40472222,267.6866667,14.70194444,222.6111111,#N/D,1.533333333,267.6866667,2,183.0916667,R-CAC,DO,Habilitado,73%,87%,25%,71.8934,87.6464,517.433,252.1688889,744,491.8311111
DO31_L512,13.30388889,0.1,11.48527778,8,2.630555556,403.6211111,#N/D,#N/D,8,5,297.8436111,R-CAC,DO,Habilitado,90%,96%,40%,82.1357,95.6207,645.274,332.3788889,744,411.6211111
DO31_L521,0.073888889,#N/D,#N/D,#N/D,1.338333333,499.2005556,#N/D,#N/D,#N/D,1,235.0055556,R-CAC,DO,Habilitado,96%,100%,32%,85.7354,98.7675,560.831,244.7994444,744,499.2005556
DO51_L502,51.23888889,45.91666667,46.11888889,232.5197222,46.80972222,#N/D,#N/D,#N/D,232.5197222,2,317.3430556,R-CAC,DO,Habilitado,62%,86%,43%,66.156,84.618,362.086,511.4802778,744,232.5197222
DO51_L551,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,R-CAC,#N/D,Deshabilitado,#N/D,#N/D,#N/D,50.997,76.492,34.0347,#N/D,#N/D,#N/D
DO51_L561,4.8925,#N/D,4.298055556,8,0,548.43,#N/D,#N/D,8,18,169.8916667,R-CAC,DO,Habilitado,91%,97%,23%,81.481,95.9439,351.591,187.57,744,556.43
DO51_L562,0,#N/D,#N/D,#N/D,0,710.2027778,#N/D,#N/D,#N/D,2,33.63027778,R-CAC,DO,Habilitado,100%,100%,5%,84.244,98.3575,355.419,33.79722222,744,710.2027778
DO51_L563,2.183333333,#N/D,#N/D,#N/D,0.963333333,440.9011111,#N/D,#N/D,#N/D,8,296.1572222,R-CAC,DO,Habilitado,98%,99%,40%,90.0744,98.3578,332.474,303.0988889,744,440.9011111
DO51_L565,17.30833333,8,12.925,#N/D,8.983333333,458.6791667,#N/D,#N/D,#N/D,2,229.1333333,R-CAC,DO,Habilitado,80%,93%,31%,56.7784,85.058,366.946,285.3208333,744,458.6791667
GT01_L501,0.3,#N/D,3,#N/D,0,696.2030556,#N/D,#N/D,#N/D,1,44.49694444,R-CAC,GT,Deshabilitado,93%,99%,6%,90.9871,97.2477,58.25,47.79694444,744,696.2030556
HN01_LINEA 1,46.90666667,11.5,15.89888889,#N/D,44.14111111,178.9225,157.0394444,#N/D,#N/D,5,248.4058333,R-CAC,HN,Habilitado,61%,84%,33%,65.2714,85.7449,306.413,408.0380556,744,335.9619444
HN01_LINEA 3,17.02361111,#N/D,18.08916667,48.15833333,61.04916667,110.7291667,109.3352778,#N/D,48.15833333,2,371.8605556,R-CAC,HN,Habilitado,78%,96%,50%,76.8853,95.1916,676.332,475.7772222,744,268.2227778
HN01_LINEA 2,0.563888889,35.45472222,23.5625,#N/D,1.521944444,#N/D,2.883888889,#N/D,#N/D,9,677.8463889,R-CAC,HN,Habilitado,91%,100%,91%,78.5592,96.1878,637,741.1161111,744,2.883888889
HN02_LINEA 1,3.307777778,#N/D,3,1.264444444,12.40083333,538.5055556,2.5,95.11638889,1.264444444,11,82.85194444,R-CAC,HN,Habilitado,78%,96%,11%,56.6372,93.4307,226,106.6136111,744,637.3863889
HN02_LINEA 2,21.65722222,15.5,46.75055556,102.5911111,21.54527778,31.51083333,#N/D,95.06333333,102.5911111,1,395.8322222,R-CAC,HN,Habilitado,77%,95%,53%,74.8649,93.266,740,514.8347222,744,229.1652778
HN02_LINEA 7,0,#N/D,#N/D,#N/D,0,744,#N/D,#N/D,#N/D,#N/D,0,R-CAC,HN,Deshabilitado,#¡DIV/0!,#¡DIV/0!,0%,97.1429,97.1429,10.5,0,744,744
HN02_LINEA 8,0,#N/D,#N/D,184.1875,0,109.5625,#N/D,#N/D,184.1875,7,450.25,R-CAC,HN,Deshabilitado,100%,100%,61%,100,100,435.213,450.25,744,293.75
HN02_LINEA 3,30.82222222,19.78027778,56.79611111,55.54083333,33.30583333,#N/D,#N/D,100.0583333,55.54083333,17,412.0880556,R-CAC,HN,Habilitado,70%,93%,55%,78.5977,93.1503,744,588.4008333,744,155.5991667
HN02_LINEA 4,19.57833333,19.09,51.63805556,168.0191667,15.42277778,#N/D,#N/D,123.9119444,168.0191667,12,329.9661111,R-CAC,HN,Habilitado,73%,94%,44%,77.6027,92.7957,713.724,452.0688889,744,291.9311111
HN02_LINEA 5,0.535277778,4.114722222,39.99666667,395.8136111,1.190555556,#N/D,#N/D,79,395.8136111,5,221.0158333,R-CAC,HN,Habilitado,82%,100%,30%,0,0,0,269.1863889,744,474.8136111
HN02_LINEA 6,41.53805556,29.82583333,40.15166667,92.38444444,19.42555556,43.53027778,#N/D,117.8352778,92.38444444,10,343.5547222,R-CAC,HN,Habilitado,70%,89%,46%,72.8814,92.6724,590,490.25,744,253.75
HN02_LINEA 9,21.40027778,2.547777778,40.90944444,7.943333333,13.06611111,#N/D,#N/D,248.1627778,7.943333333,4,403.2066667,R-CAC,HN,Deshabilitado,83%,95%,54%,0,0,0,487.8938889,744,256.1061111
PA01_L501,12.49694444,#N/D,5.183611111,311.105,7.231388889,278.3175,19.495,25.30944444,311.105,2,84.86111111,R-CAC,PA,Habilitado,77%,87%,11%,70.3202,84.5756,545.825,109.7730556,744,634.2269444
PA01_L502,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,R-CAC,#N/D,Deshabilitado,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
PA01_L561,83.72194444,11,35.86027778,0.683333333,10.98527778,438.4344444,3.530277778,24,0.683333333,13,119.9458333,R-CAC,PA,Habilitado,43%,59%,16%,57.696,97.0593,286.025,277.3519444,744,466.6480556
PA01_L503,7.705,#N/D,#N/D,#N/D,0,510.5283333,#N/D,196.7983333,#N/D,1,26.55638889,R-CAC,PA,Deshabilitado,72%,78%,4%,62.138,75.855,719,36.67333333,744,707.3266667
PA01_L511,36.98916667,#N/D,11.24277778,32.90305556,12.71333333,212.6286111,#N/D,41.47361111,32.90305556,4,387.6947222,R-CAC,PA,Habilitado,85%,91%,52%,86.8583,95.095,669.625,456.9947222,744,287.0052778
PA01_L551,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,R-CAC,#N/D,Deshabilitado,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D
SV01_LINEA 3,17.17111111,32.41666667,24.53333333,12.5,27.25,289,25.4,#N/D,12.5,6,294.0622222,R-CAC,SV,Habilitado,71%,94%,40%,70.798,92.816,580.524,417.1,744,326.9
SV01_LINEA 4,19.75138889,43,16.75027778,6,12.91666667,207.75,99.88333333,#N/D,6,4,319.7816667,R-CAC,SV,Habilitado,74%,94%,43%,66.5053,90.5753,586.303,430.3666667,744,313.6333333
SV01_LINEA 2,14.37416667,24.25,24.8,6.25,11.08333333,175.6658333,51.3675,#N/D,6.25,17,418.1258333,R-CAC,SV,Habilitado,82%,97%,56%,84.636,97.1338,379.771,510.7166667,744,233.2833333
SV01_LINEA 1,0.061388889,#N/D,2,#N/D,0,700.25,8,#N/D,#N/D,1,31.88861111,R-CAC,SV,Deshabilitado,89%,100%,4%,82.6017,99.6885,20.4131,35.75,744,708.25
SV02_LINEA 1,10.05694444,#N/D,15.15444444,12,17.35305556,129.3322222,402.3930556,#N/D,12,10,140.6316667,R-CAC,SV,Habilitado,70%,93%,19%,69.4961,93.0793,402.585,200.2747222,744,543.7252778
SV02_LINEA 2,2.527777778,#N/D,11.42361111,#N/D,5.400555556,116.3669444,484.8094444,#N/D,#N/D,3,120.6647222,R-CAC,SV,Habilitado,84%,98%,16%,82.1812,94.1002,342.834,142.8236111,744,601.1763889
SV02_LINEA 3,11.79777778,#N/D,25.94361111,#N/D,25.02944444,107.4302778,200.9455556,#N/D,#N/D,14,351.8130556,R-CAC,SV,Habilitado,81%,97%,47%,79.2936,96.5988,471.253,435.6241667,744,308.3758333
SV02_LINEA 6,0,#N/D,3.833333333,#N/D,0,688.425,12.46666667,#N/D,#N/D,6,39.025,R-CAC,SV,Habilitado,91%,100%,5%,85.9359,97.7295,97.4085,43.10833333,744,700.8916667
SV02_LINEA 7,0,#N/D,#N/D,#N/D,0,734,10,#N/D,#N/D,#N/D,0,R-CAC,SV,Habilitado,#¡DIV/0!,#¡DIV/0!,0%,71.9096,95.8679,63.9312,0,744,744
SV02_LINEA 4,48.62805556,49.31666667,45.12111111,8,18.76111111,9.237222222,55.9,#N/D,8,12,459.4494444,R-CAC,SV,Habilitado,68%,90%,62%,68.4833,92.3491,628.573,670.8627778,744,73.13722222
SV02_LINEA 5,9.609722222,#N/D,32.59277778,#N/D,7.280277778,77.25638889,116.7672222,#N/D,#N/D,7,479.1194444,R-CAC,SV,Habilitado,87%,98%,64%,83.4658,96.7511,487.644,549.9763889,744,194.0236111
SV02_LINEA 8,49.08805556,47.4425,43.32972222,6.755277778,44.16055556,0.533333333,63.83583333,#N/D,6.755277778,15,443.1638889,R-CAC,SV,Habilitado,66%,90%,60%,65.3943,89.6371,724.203,672.8755556,744,71.12444444
SV03_LINEA 2,42.15777778,19.7,35.91638889,94.30222222,33.13361111,76.40305556,#N/D,#N/D,94.30222222,1,440.8116667,R-CAC,SV,Habilitado,77%,91%,59%,73.5663,88.638,663.457,573.2947222,744,170.7052778
SV03_LINEA 4,0.5525,11.6,30.16416667,0.983333333,20.02777778,137.2877778,#N/D,#N/D,0.983333333,1,499.3005556,R-CAC,SV,Deshabilitado,82%,100%,67%,79.8711,99.8323,631.118,605.7288889,744,138.2711111
SV03_LINEA 3,30.27972222,24.63388889,41.04583333,9.725833333,18.74666667,113.1852778,8,#N/D,9.725833333,7,478.1066667,R-CAC,SV,Habilitado,78%,94%,64%,77.1505,93.6989,591.157,613.0888889,744,130.9111111
AG01_TREN-1,50.66361111,12.88416667,53.85777778,10.60083333,30.99388889,116,#N/D,#N/D,10.60083333,1,462.3066667,R-COL,COL,Habilitado,75%,90%,62%,70.45,86,586.867,617.3991667,744,126.6008333
AG01_TREN-2,37.57944444,44.97694444,63.6625,12.13583333,34.23666667,76,17.18333333,#N/D,12.13583333,7,440.7713889,R-COL,COL,Habilitado,69%,92%,59%,67.6,88.7,681.518,638.6808333,744,105.3191667
AG01_TREN-4,45.05583333,8.882777778,74.57305556,8.218888889,41.59305556,117,9,#N/D,8.218888889,4,431.6669444,R-COL,COL,Habilitado,71%,91%,58%,68.8,87.1,694.653,609.7811111,744,134.2188889
AG01_TREN-6,16.52944444,24.36194444,24.52194444,41.49444444,11.045,168,5,#N/D,41.49444444,3,430.8755556,R-COL,COL,Habilitado,81%,96%,58%,81.5,95.8,670.124,529.5055556,744,214.4944444
AG01_TREN-5,25.78555556,44.76083333,42.55416667,12.25444444,24.80916667,153.5,3,#N/D,12.25444444,9,425.2269444,R-COL,COL,Habilitado,74%,94%,57%,76.6879,94.5859,471.478,575.2455556,744,168.7544444
AG01_TREN-7,8.900555556,10.19722222,74.7775,6.750833333,18.89055556,295.8733333,#N/D,#N/D,6.750833333,6,309.6691667,R-COL,COL,Habilitado,70%,97%,42%,71.64,97,410.588,441.3758333,744,302.6241667
BA02_TREN-1,56.43694444,26.63472222,38.35833333,69.51388889,23.16333333,95.83333333,#N/D,#N/D,69.51388889,4,412.42,R-COL,COL,Habilitado,71%,88%,55%,76.9413,94.409,724.237,578.6527778,744,165.3472222
BA02_TREN-2,11.7925,6,15.47972222,8.666666667,9.748611111,3,#N/D,293.9483333,8.666666667,7,385.0272222,R-COL,COL,Deshabilitado,88%,97%,52%,77.1564,94.5985,612.863,438.385,744,305.615
BA04_TREN-1,0.750833333,91.92416667,17.66666667,#N/D,5.452777778,521.5788889,#N/D,#N/D,#N/D,3,98.50194444,R-COL,COL,Habilitado,44%,99%,13%,85.9516,98.0588,470.161,222.4211111,744,521.5788889
BA04_TREN-2,13.07444444,16,34.42916667,8.493333333,24.79611111,189.5083333,#N/D,#N/D,8.493333333,2,447.9544444,R-COL,COL,Habilitado,82%,97%,60%,76.4088,98.035,391.772,545.9983333,744,198.0016667
BA04_TREN-3,12.17722222,16,45.205,#N/D,18.44555556,48.89277778,#N/D,#N/D,#N/D,9,572.2633333,R-COL,COL,Habilitado,82%,98%,77%,85.1862,97.6761,592.085,695.1072222,744,48.89277778
BA26_TREN-1,17.14361111,17.455,21.69777778,88.08194444,39.36805556,29.91833333,#N/D,#N/D,88.08194444,5,504.3638889,R-COL,COL,Habilitado,81%,97%,68%,79.3722,95.2868,611.312,625.9997222,744,118.0002778
BA26_TREN-2,18.88166667,11.52861111,18.15416667,93.25277778,32.13166667,93,#N/D,#N/D,93.25277778,10,453.0158333,R-COL,COL,Habilitado,81%,96%,61%,82.0274,95.312,694,557.7472222,744,186.2527778
BA26_TREN-3,28.79361111,18.69416667,29.085,53.51777778,42.88777778,37.69527778,#N/D,#N/D,53.51777778,3,521.1913889,R-COL,COL,Habilitado,80%,95%,70%,79.4842,94.4663,687.274,652.7869444,744,91.21305556
BA26_TREN-4,27.63777778,22.32277778,30.22277778,64.51666667,42.605,26,#N/D,#N/D,64.51666667,2,514.3922222,R-COL,COL,Habilitado,79%,95%,69%,79.5836,94.1833,528.988,653.4833333,744,90.51666667
BA26_TREN-8,20.11888889,14.05888889,11.88055556,50.5,34.39277778,24,#N/D,157.4741667,50.5,1,419.7144444,R-COL,COL,Habilitado,82%,95%,56%,75.5198,94.9899,602.528,512.0258333,744,231.9741667
BA26_TREN-5,17.8825,21.06666667,29.17888889,9.500555556,52.90416667,33,#N/D,3,9.500555556,9,551.025,R-COL,COL,Habilitado,79%,97%,74%,78.8091,96.6315,728,698.4994444,744,45.50055556
BA26_P-BARRIL,0,#N/D,#N/D,#N/D,0,718.94,#N/D,#N/D,#N/D,1,21.58,R-COL,COL,Deshabilitado,86%,100%,3%,81.25,95.122,24,25.06,744,718.94
BA26_TREN-6,10.17,18.83638889,90.14361111,0.5,3.073611111,90.00027778,#N/D,1.5,0.5,7,502.1288889,R-COL,COL,Habilitado,77%,98%,67%,77.2168,97.4786,700.956,651.9997222,744,92.00027778
CV01_TREN-1,33.38666667,12.5875,35.3525,166.2252778,13.58027778,140.8491667,1.910277778,#N/D,166.2252778,3,322.5247222,R-COL,COL,Habilitado,74%,91%,43%,72.6297,90.11,298.986,435.0152778,744,308.9847222
CV01_TREN-2,18.26111111,2.655833333,19.47944444,119.2686111,2.536111111,319.3280556,#N/D,#N/D,119.2686111,6,254.8980556,R-COL,COL,Habilitado,83%,93%,34%,79.2998,90.6483,703.005,305.4033333,744,438.5966667
